video_id,views,likes,comments,snapshot_date
KVFEVIaMhmc,11685,202,2,2026-01-07
5dmg_98oPx4,1284,16,0,2026-01-07
RZTBkY4TJGA,181,7,1,2026-01-07
gpuQVtY18Mk,1464,29,0,2026-01-07
fvV6j5wgBkc,1273,8,0,2026-01-07
tTNMtXGVQug,716,5,0,2026-01-07
XNfmBllXLSU,1489,23,0,2026-01-07
cC8vv4ivfuQ,248,4,0,2026-01-07
_UMUvPlJXgM,218,2,0,2026-01-07
DK0NAZg37C4,714,10,1,2026-01-07
Wg6eY5kQjgs,131,0,0,2026-01-07
Y5Agt6-QiDA,843,3,0,2026-01-07
4amL1oGdc_4,128,0,0,2026-01-07
6Z0_GCKjp4s,340,7,0,2026-01-07
dgVXGyJlSTs,124,0,0,2026-01-07
WgkkrK3Xcns,119,0,0,2026-01-07
fdZaKNuUdVc,507,5,0,2026-01-07
WqoPH8u0Br0,106,2,0,2026-01-07
32KSaFSvwCs,883,1,0,2026-01-07
2zSlKVjXGM0,226,8,0,2026-01-07
FWzwJNJAxMY,14892,51,19,2026-01-07
INdAs2RIfL4,662,16,0,2026-01-07
XOw6eIMmqtY,187,4,1,2026-01-07
OuaRXA9PSi8,288,3,0,2026-01-07
LgzSxI5sFhY,561,7,0,2026-01-07
rooRuL7onRU,561,13,0,2026-01-07
46t41a0Y4vo,338,1,0,2026-01-07
awpU0TMoqUM,1127,3,0,2026-01-07
FfifVpDU8ps,1777,9,0,2026-01-07
rewSLR7mdPE,1691,49,13,2026-01-07
rAzpAC2UNGE,18270,313,13,2026-01-07
5lriRwjAGgw,876,14,0,2026-01-07
bhwiruINK6A,1444,13,0,2026-01-07
AL9MBC1KzrE,883,6,0,2026-01-07
vxz1wOhi1uQ,1362,4,0,2026-01-07
0mayzZ3zitg,3975,142,34,2026-01-07
TP7Z4spv8og,5259,47,0,2026-01-07
lB8-YDLMNjQ,527,13,1,2026-01-07
e-Nc1BRVWJ8,1535,55,21,2026-01-07
mhe6lprb-Zo,453,1,0,2026-01-07
KNnp2aHEq2Q,535,6,1,2026-01-07
fiqKaBdZUDY,243,3,0,2026-01-07
-cIlFoEqAAg,201,2,0,2026-01-07
pUMOw4LYt5g,1101,21,0,2026-01-07
uFATfhclVP8,670,21,5,2026-01-07
zO4VxfrLrl4,480,17,1,2026-01-07
Z83sczU-nho,7120,254,44,2026-01-07
a_CglBpIojA,2107,89,1,2026-01-07
S-gZFBLCLQM,1944,90,1,2026-01-07
HszZKsiLCm4,769,11,2,2026-01-07
T9P992YN6ZQ,1913,65,10,2026-01-07
Y468CCxMtDI,821,21,4,2026-01-07
cg5dXWZcSVI,366,6,1,2026-01-07
QxBXKfKpPO8,2623,49,4,2026-01-07
GXBFsdiR6Nk,1206,13,7,2026-01-07
GewaDNw4rMk,4041,112,1,2026-01-07
o8QZPdP1HlU,2132,34,1,2026-01-07
uzPSAcwh6Dc,2036,85,11,2026-01-07
U0dm3K86Q4w,702,14,4,2026-01-07
AZWi3Dw6ovg,30941,491,65,2026-01-07
8M0Zse_fut8,1406,14,0,2026-01-07
BWNZ2-FMJWo,2009,45,0,2026-01-07
7pYJOWDTCK8,841,13,0,2026-01-07
pDWT-Th9Yj0,7164,197,14,2026-01-07
ThkLEJ8nvPY,88,5,0,2026-01-07
PSRs0SiRT14,2387,69,0,2026-01-07
2Lu1lF5oyMQ,1260,12,0,2026-01-07
7ONGQXsi69s,362,1,0,2026-01-07
JE_kfWToZxY,368,4,0,2026-01-07
8n-J7zNNvmc,208,0,0,2026-01-07
m5-f7rVASxE,869,7,1,2026-01-07
N575-ELxB3w,448,10,0,2026-01-07
WDO0794GfJ8,885,4,0,2026-01-07
KELsTdK_71U,144,2,0,2026-01-07
fkaKiUB69k8,617,10,0,2026-01-07
ZfCDPwfPK24,311,5,0,2026-01-07
-psZjQ_G8_I,412,3,0,2026-01-07
lilh0V4t5lQ,3494,52,7,2026-01-07
A1iXBKhMFFI,355,7,1,2026-01-07
IVc5KNN1oyk,4545,156,8,2026-01-07
hb7-IUzlEnc,930,5,21,2026-01-07
LIVa8J4G2U0,582,3,0,2026-01-07
9F40kRMmVQ8,2217,90,17,2026-01-07
RqrLnGcUVC4,2475,58,4,2026-01-07
fdyF3ljwi_8,196,4,0,2026-01-07
q1CDDZDMSqk,2982,30,0,2026-01-07
_btHQlWg8CE,181,4,0,2026-01-07
VzBsaESeP00,604,7,0,2026-01-07
11GLFKEXGEo,799,24,0,2026-01-07
tA0TiNfi5QA,677,10,1,2026-01-07
ayYZyPgAPrA,1451,33,0,2026-01-07
N5ogjK3XMR8,662,16,1,2026-01-07
f550MJCrmhU,7361,110,0,2026-01-07
uGMgrArjkHg,1432,2,0,2026-01-07
wcVWxzeK1zQ,1154,12,0,2026-01-07
3mFDgqfhrZg,14333,545,8,2026-01-07
FE52JHHNCmI,14254,545,2,2026-01-07
A-XG2GoS6so,1341,15,0,2026-01-07
xr_Eu-6iDaA,338,5,0,2026-01-07
D3Z_X-BbUAc,144,0,0,2026-01-07
miZI-ccRB44,1466,5,0,2026-01-07
yUUd00EWDkU,1510,5,0,2026-01-07
uE6r0wl95Es,1171,3,0,2026-01-07
xlwIk9iqLdM,6545,87,3,2026-01-07
SNBOUigzOO0,118,0,0,2026-01-07
QjCiYEnhS4o,1077,11,0,2026-01-07
qKhyZtSgJck,471,5,0,2026-01-07
m3HBZO_yj_E,2605,53,6,2026-01-07
mrDNKDMc1KE,478,14,0,2026-01-07
h0Bu-ujpAg8,609,24,2,2026-01-07
hTNP1rCJbrc,266,0,0,2026-01-07
Qgf0g-KYGpU,1239,6,3,2026-01-07
WwLDd1QSrGU,373,4,0,2026-01-07
swqo5PJ_K4s,1015,18,0,2026-01-07
ys9QArc8YNM,622,11,0,2026-01-07
zcF7ux_OCAU,697,22,0,2026-01-07
LRJbzFTtdSo,282,3,0,2026-01-07
T6CkYH-QQig,598,13,0,2026-01-07
cJb-6toJvLU,206,4,0,2026-01-07
7ypcl71Rm7g,825,7,0,2026-01-07
AwKIDywsxcY,2568,84,6,2026-01-07
4sVtgc2WNK0,130092,1807,79,2026-01-07
9ESa1fbzCtI,18614,142,0,2026-01-07
P76el2sD0nQ,799,8,10,2026-01-07
rfmsLbdCbWk,1636,18,1,2026-01-07
QOch6nLKn3w,1417,22,0,2026-01-07
uG6YwIVmcEY,1671,33,3,2026-01-07
Hl0y98k0D5g,1951,25,4,2026-01-07
iJVeLwhBd-4,150,4,0,2026-01-07
k5OeBO78ipM,1445,4,0,2026-01-07
zF0qsm05woU,2294,74,14,2026-01-07
f33b-zV4nY0,5044,170,1,2026-01-07
aHBkTdVj4Z8,1344,39,1,2026-01-07
pyIFkKRInKI,3472,65,0,2026-01-07
FMeKmjisw78,1376,44,0,2026-01-07
PVVwPGUnXvM,1707,6,0,2026-01-07
LiS7wafE8wM,229,4,1,2026-01-07
es07RLOsVhE,575,13,1,2026-01-07
uNTGnyNAaIk,3758,59,3,2026-01-07
cwHj5lu3JaM,64073,443,24,2026-01-07
313Zbc4gkM0,1039,56,5,2026-01-07
9qXJtGvh4jQ,2176,63,4,2026-01-07
2LUODwIyqLI,982,20,0,2026-01-07
PLOMzF-k1o4,780,5,0,2026-01-07
90EKqlelWG8,452,2,0,2026-01-07
EXA-_oF4JGw,720,2,0,2026-01-07
Q4w_ofLV83o,547,3,0,2026-01-07
GNWqkkUjQ0s,651,24,0,2026-01-07
2wLbvMbGP6g,368,9,1,2026-01-07
Cog1kwePxvI,209,5,0,2026-01-07
jga-znCLxpU,132,1,0,2026-01-07
MAr7kfZRjow,267,0,0,2026-01-07
3NX1Mz-VHXA,664,8,0,2026-01-07
QguqJjnlgy4,294,0,0,2026-01-07
mzZo9r8_Coo,42649,272,130,2026-01-07
U_9q_p7B_6U,132,5,0,2026-01-07
qdl8bZyiET8,273,6,0,2026-01-07
lN8nnuWqtrc,1959,63,0,2026-01-07
dZDgfbe2I6k,75,3,0,2026-01-07
tMUTyTqBnm0,2573,41,44,2026-01-07
QKvnrwkp98Q,2970,65,2,2026-01-07
KHPUd3nB1UA,1068,23,15,2026-01-07
3e0YVRnXW4c,2287,27,7,2026-01-07
YvOYTfFsrxs,778,6,12,2026-01-07
g_I--Z9NTfU,4316,39,1,2026-01-07
eKgUY9r0H8o,1838,30,14,2026-01-07
xv-rAEgzQAo,77,2,0,2026-01-07
XUWYPDW2Vgo,327,4,0,2026-01-07
M-gLo8h_D5M,988,28,13,2026-01-07
vt4CA6_8_tA,519,7,0,2026-01-07
8Z_Do3cXQpw,980,24,0,2026-01-07
AlkbX0Kf580,1825,18,0,2026-01-07
afr0y_Odqik,863,11,0,2026-01-07
ucI1vLfTZ7s,437,7,0,2026-01-07
BZM9pt6jllw,991,24,5,2026-01-07
UzGVHjqJ2f8,1418,43,4,2026-01-07
CxjvxzywUgI,2157,7,0,2026-01-07
-lldXcL74e4,180,2,0,2026-01-07
5Cv5JN-kQ30,827,3,0,2026-01-07
FCChRzU315U,134,0,0,2026-01-07
5DBhGpUSgCk,314,4,0,2026-01-07
